Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:03<00:03,  3.94s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.04s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:06<00:00,  3.18s/it]
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 examples (shuffled).
[cache] Loaded base-correct (600) from /sfs/weka/scratch/vjd5zr/project/ReasonEdit/data/correct/base_correct_Qwen_Qwen2.5-3B-Instruct_origin.json

Starting sequential training…
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
[   2/600]  edit_acc=0.500  gen_acc=1.000  loc_acc=1.000  loss=15.4728
[   4/600]  edit_acc=0.750  gen_acc=1.000  loc_acc=1.000  loss=10.8227
[   6/600]  edit_acc=0.833  gen_acc=0.833  loc_acc=1.000  loss=15.1861
[   8/600]  edit_acc=0.875  gen_acc=0.875  loc_acc=1.000  loss=16.1715
[  10/600]  edit_acc=0.900  gen_acc=0.800  loc_acc=1.000  loss=15.5971
[  12/600]  edit_acc=0.917  gen_acc=0.750  loc_acc=1.000  loss=10.2393
[  14/600]  edit_acc=0.929  gen_acc=0.643  loc_acc=1.000  loss=11.3588
[  16/600]  edit_acc=0.875  gen_acc=0.688  loc_acc=1.000  loss=11.0455
[  18/600]  edit_acc=0.889  gen_acc=0.722  loc_acc=1.000  loss=16.3462
[  20/600]  edit_acc=0.900  gen_acc=0.750  loc_acc=1.000  loss=14.5099
[  22/600]  edit_acc=0.909  gen_acc=0.773  loc_acc=0.955  loss=14.7812
[  24/600]  edit_acc=0.917  gen_acc=0.792  loc_acc=0.958  loss=11.5821
[  26/600]  edit_acc=0.923  gen_acc=0.808  loc_acc=0.962  loss=14.6519
[  28/600]  edit_acc=0.929  gen_acc=0.786  loc_acc=0.964  loss=10.5070
[  30/600]  edit_acc=0.933  gen_acc=0.800  loc_acc=0.967  loss=15.1561
[  32/600]  edit_acc=0.875  gen_acc=0.781  loc_acc=0.969  loss=10.7055
[  34/600]  edit_acc=0.882  gen_acc=0.794  loc_acc=0.971  loss=10.7805
[  36/600]  edit_acc=0.833  gen_acc=0.778  loc_acc=0.972  loss=10.6266
[  38/600]  edit_acc=0.816  gen_acc=0.789  loc_acc=0.974  loss=11.3808
[  40/600]  edit_acc=0.800  gen_acc=0.775  loc_acc=0.975  loss=10.9693
[  42/600]  edit_acc=0.810  gen_acc=0.762  loc_acc=0.976  loss=11.2033
[  44/600]  edit_acc=0.818  gen_acc=0.773  loc_acc=0.955  loss=14.9256
[  46/600]  edit_acc=0.826  gen_acc=0.761  loc_acc=0.957  loss=10.9263
[  48/600]  edit_acc=0.812  gen_acc=0.771  loc_acc=0.958  loss=10.0986
[  50/600]  edit_acc=0.780  gen_acc=0.780  loc_acc=0.940  loss=10.5396
[  52/600]  edit_acc=0.788  gen_acc=0.769  loc_acc=0.942  loss=15.2826
[  54/600]  edit_acc=0.796  gen_acc=0.759  loc_acc=0.944  loss=10.3217
[  56/600]  edit_acc=0.786  gen_acc=0.768  loc_acc=0.929  loss=10.5280
[  58/600]  edit_acc=0.793  gen_acc=0.776  loc_acc=0.931  loss=10.8203
[  60/600]  edit_acc=0.783  gen_acc=0.767  loc_acc=0.933  loss=14.4462
[  62/600]  edit_acc=0.790  gen_acc=0.758  loc_acc=0.935  loss=14.6122
[  64/600]  edit_acc=0.781  gen_acc=0.766  loc_acc=0.922  loss=11.1291
[  66/600]  edit_acc=0.773  gen_acc=0.758  loc_acc=0.924  loss=13.5625
[  68/600]  edit_acc=0.750  gen_acc=0.765  loc_acc=0.926  loss=14.0599
[  70/600]  edit_acc=0.757  gen_acc=0.771  loc_acc=0.929  loss=14.4476
[  72/600]  edit_acc=0.750  gen_acc=0.778  loc_acc=0.931  loss=11.2045
[  74/600]  edit_acc=0.757  gen_acc=0.784  loc_acc=0.932  loss=13.9595
[  76/600]  edit_acc=0.737  gen_acc=0.776  loc_acc=0.934  loss=14.8156
[  78/600]  edit_acc=0.731  gen_acc=0.782  loc_acc=0.936  loss=10.8432
[  80/600]  edit_acc=0.738  gen_acc=0.775  loc_acc=0.938  loss=10.5989
[  82/600]  edit_acc=0.744  gen_acc=0.768  loc_acc=0.939  loss=11.0185
