Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 23.21it/s]
Resumed from ckpts/reptile_00045.pt, missing=0 unexpected=0
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 examples (shuffled).
[cache] Loaded base-correct (600) from /sfs/weka/scratch/vjd5zr/project/ReasonEdit/data/correct/base_correct_Qwen_Qwen2.5-3B-Instruct_reptile_00045.json

Starting sequential training…
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
[   2/600]  edit_acc=1.000  gen_acc=0.500  loc_acc=1.000  loss=18.2472
[   4/600]  edit_acc=1.000  gen_acc=0.750  loc_acc=1.000  loss=11.0841
[   6/600]  edit_acc=1.000  gen_acc=0.667  loc_acc=1.000  loss=15.8855
[   8/600]  edit_acc=1.000  gen_acc=0.750  loc_acc=1.000  loss=16.9611
[  10/600]  edit_acc=1.000  gen_acc=0.700  loc_acc=1.000  loss=16.6879
[  12/600]  edit_acc=1.000  gen_acc=0.667  loc_acc=1.000  loss=11.7684
[  14/600]  edit_acc=1.000  gen_acc=0.643  loc_acc=1.000  loss=12.1077
[  16/600]  edit_acc=0.938  gen_acc=0.688  loc_acc=1.000  loss=12.2539
[  18/600]  edit_acc=0.944  gen_acc=0.722  loc_acc=1.000  loss=16.7906
[  20/600]  edit_acc=0.950  gen_acc=0.750  loc_acc=1.000  loss=15.6566
[  22/600]  edit_acc=0.955  gen_acc=0.773  loc_acc=1.000  loss=15.5303
[  24/600]  edit_acc=0.917  gen_acc=0.792  loc_acc=1.000  loss=11.6972
[  26/600]  edit_acc=0.923  gen_acc=0.808  loc_acc=1.000  loss=15.6194
[  28/600]  edit_acc=0.929  gen_acc=0.786  loc_acc=1.000  loss=11.5890
[  30/600]  edit_acc=0.933  gen_acc=0.767  loc_acc=1.000  loss=16.4344
[  32/600]  edit_acc=0.875  gen_acc=0.781  loc_acc=1.000  loss=11.3755
[  34/600]  edit_acc=0.824  gen_acc=0.794  loc_acc=0.971  loss=11.2881
[  36/600]  edit_acc=0.806  gen_acc=0.778  loc_acc=0.972  loss=11.3242
[  38/600]  edit_acc=0.789  gen_acc=0.763  loc_acc=0.974  loss=12.6429
[  40/600]  edit_acc=0.800  gen_acc=0.775  loc_acc=0.975  loss=10.5793
[  42/600]  edit_acc=0.810  gen_acc=0.762  loc_acc=0.976  loss=11.3859
[  44/600]  edit_acc=0.818  gen_acc=0.773  loc_acc=0.977  loss=17.0759
[  46/600]  edit_acc=0.826  gen_acc=0.761  loc_acc=0.978  loss=11.6742
[  48/600]  edit_acc=0.812  gen_acc=0.771  loc_acc=0.979  loss=11.1108
[  50/600]  edit_acc=0.800  gen_acc=0.780  loc_acc=0.980  loss=11.6597
[  52/600]  edit_acc=0.788  gen_acc=0.769  loc_acc=0.981  loss=15.9043
[  54/600]  edit_acc=0.796  gen_acc=0.778  loc_acc=0.981  loss=11.8210
[  56/600]  edit_acc=0.786  gen_acc=0.786  loc_acc=0.982  loss=12.1224
[  58/600]  edit_acc=0.793  gen_acc=0.793  loc_acc=0.983  loss=10.9356
[  60/600]  edit_acc=0.783  gen_acc=0.783  loc_acc=0.983  loss=15.0841
[  62/600]  edit_acc=0.790  gen_acc=0.790  loc_acc=0.984  loss=14.9532
[  64/600]  edit_acc=0.797  gen_acc=0.781  loc_acc=0.984  loss=11.8520
[  66/600]  edit_acc=0.803  gen_acc=0.773  loc_acc=0.985  loss=16.4919
[  68/600]  edit_acc=0.794  gen_acc=0.765  loc_acc=0.985  loss=18.2573
[  70/600]  edit_acc=0.800  gen_acc=0.757  loc_acc=0.986  loss=15.5228
[  72/600]  edit_acc=0.806  gen_acc=0.750  loc_acc=0.986  loss=12.7790
[  74/600]  edit_acc=0.811  gen_acc=0.743  loc_acc=0.986  loss=15.7971
[  76/600]  edit_acc=0.789  gen_acc=0.750  loc_acc=0.987  loss=16.1711
[  78/600]  edit_acc=0.782  gen_acc=0.731  loc_acc=0.987  loss=12.2458
[  80/600]  edit_acc=0.787  gen_acc=0.738  loc_acc=0.975  loss=11.7502
[  82/600]  edit_acc=0.793  gen_acc=0.744  loc_acc=0.976  loss=12.0192
[  84/600]  edit_acc=0.798  gen_acc=0.750  loc_acc=0.976  loss=15.7881
[  86/600]  edit_acc=0.802  gen_acc=0.744  loc_acc=0.977  loss=12.0068
[  88/600]  edit_acc=0.795  gen_acc=0.739  loc_acc=0.977  loss=11.7757
[  90/600]  edit_acc=0.789  gen_acc=0.744  loc_acc=0.956  loss=19.8155
[  92/600]  edit_acc=0.783  gen_acc=0.739  loc_acc=0.957  loss=15.6072
[  94/600]  edit_acc=0.787  gen_acc=0.734  loc_acc=0.957  loss=11.4610
[  96/600]  edit_acc=0.792  gen_acc=0.740  loc_acc=0.958  loss=16.4931
[  98/600]  edit_acc=0.786  gen_acc=0.745  loc_acc=0.959  loss=16.6721
[ 100/600]  edit_acc=0.770  gen_acc=0.750  loc_acc=0.960  loss=12.0492
[ 102/600]  edit_acc=0.765  gen_acc=0.755  loc_acc=0.961  loss=11.8578
[ 104/600]  edit_acc=0.769  gen_acc=0.760  loc_acc=0.962  loss=16.3108
[ 106/600]  edit_acc=0.774  gen_acc=0.755  loc_acc=0.962  loss=12.0840
[ 108/600]  edit_acc=0.778  gen_acc=0.750  loc_acc=0.963  loss=12.1714
[ 110/600]  edit_acc=0.773  gen_acc=0.755  loc_acc=0.964  loss=11.3950
[ 112/600]  edit_acc=0.768  gen_acc=0.750  loc_acc=0.964  loss=12.7120
[ 114/600]  edit_acc=0.772  gen_acc=0.754  loc_acc=0.965  loss=14.5033
[ 116/600]  edit_acc=0.767  gen_acc=0.759  loc_acc=0.966  loss=15.0888
[ 118/600]  edit_acc=0.763  gen_acc=0.763  loc_acc=0.966  loss=11.4736
[ 120/600]  edit_acc=0.758  gen_acc=0.767  loc_acc=0.967  loss=11.5479
[ 122/600]  edit_acc=0.746  gen_acc=0.762  loc_acc=0.967  loss=16.3701
[ 124/600]  edit_acc=0.750  gen_acc=0.766  loc_acc=0.968  loss=16.0494
[ 126/600]  edit_acc=0.746  gen_acc=0.754  loc_acc=0.968  loss=11.5946
[ 128/600]  edit_acc=0.750  gen_acc=0.750  loc_acc=0.969  loss=11.0624
[ 130/600]  edit_acc=0.738  gen_acc=0.754  loc_acc=0.969  loss=17.1145
[ 132/600]  edit_acc=0.735  gen_acc=0.750  loc_acc=0.970  loss=17.7757
[ 134/600]  edit_acc=0.739  gen_acc=0.746  loc_acc=0.970  loss=11.7717
[ 136/600]  edit_acc=0.735  gen_acc=0.750  loc_acc=0.971  loss=15.7374
[ 138/600]  edit_acc=0.732  gen_acc=0.746  loc_acc=0.971  loss=15.1508
[ 140/600]  edit_acc=0.721  gen_acc=0.743  loc_acc=0.971  loss=15.3158
[ 142/600]  edit_acc=0.725  gen_acc=0.746  loc_acc=0.972  loss=11.8654
[ 144/600]  edit_acc=0.715  gen_acc=0.743  loc_acc=0.972  loss=16.0853
[ 146/600]  edit_acc=0.712  gen_acc=0.747  loc_acc=0.973  loss=12.2205
[ 148/600]  edit_acc=0.709  gen_acc=0.743  loc_acc=0.973  loss=12.1083
[ 150/600]  edit_acc=0.713  gen_acc=0.740  loc_acc=0.973  loss=12.5264
[ 152/600]  edit_acc=0.711  gen_acc=0.743  loc_acc=0.974  loss=10.8747
[ 154/600]  edit_acc=0.708  gen_acc=0.747  loc_acc=0.974  loss=11.8526
[ 156/600]  edit_acc=0.705  gen_acc=0.744  loc_acc=0.974  loss=15.7014
[ 158/600]  edit_acc=0.703  gen_acc=0.747  loc_acc=0.975  loss=15.4220
[ 160/600]  edit_acc=0.706  gen_acc=0.744  loc_acc=0.975  loss=11.3938
