Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 23.37it/s]
Resumed from ckpts/reptile_ns_00045.pt, missing=0 unexpected=0
Loaded model with trainable LoRA parameters:
trainable params: 3,686,400 || all params: 3,089,625,088 || trainable%: 0.1193
Loaded 600 examples (shuffled).
[cache] Loaded base-correct (600) from /sfs/weka/scratch/vjd5zr/project/ReasonEdit/data/correct/base_correct_Qwen_Qwen2.5-3B-Instruct_reptile_ns_00045.json

Starting sequential training…
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:631: UserWarning: `do_sample` is set to `False`. However, `temperature` is set to `0.7` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `temperature`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:636: UserWarning: `do_sample` is set to `False`. However, `top_p` is set to `0.8` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_p`.
  warnings.warn(
/project/uvadm/zhenyu/miniconda3/envs/mechanistic/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:653: UserWarning: `do_sample` is set to `False`. However, `top_k` is set to `20` -- this flag is only used in sample-based generation modes. You should set `do_sample=True` or unset `top_k`.
  warnings.warn(
[   2/600]  edit_acc=0.000  gen_acc=0.500  loc_acc=1.000  loss=18.0788
[   4/600]  edit_acc=0.500  gen_acc=0.750  loc_acc=1.000  loss=11.6106
[   6/600]  edit_acc=0.667  gen_acc=0.667  loc_acc=1.000  loss=17.3423
[   8/600]  edit_acc=0.750  gen_acc=0.625  loc_acc=1.000  loss=18.5975
[  10/600]  edit_acc=0.800  gen_acc=0.600  loc_acc=0.900  loss=17.0652
[  12/600]  edit_acc=0.833  gen_acc=0.583  loc_acc=0.917  loss=10.7167
[  14/600]  edit_acc=0.857  gen_acc=0.571  loc_acc=0.929  loss=12.7410
[  16/600]  edit_acc=0.812  gen_acc=0.625  loc_acc=0.938  loss=12.6098
[  18/600]  edit_acc=0.833  gen_acc=0.667  loc_acc=0.944  loss=16.1694
[  20/600]  edit_acc=0.800  gen_acc=0.650  loc_acc=0.950  loss=17.0703
[  22/600]  edit_acc=0.818  gen_acc=0.682  loc_acc=0.955  loss=16.2092
[  24/600]  edit_acc=0.792  gen_acc=0.708  loc_acc=0.958  loss=12.6410
[  26/600]  edit_acc=0.808  gen_acc=0.692  loc_acc=0.962  loss=17.2001
[  28/600]  edit_acc=0.786  gen_acc=0.643  loc_acc=0.964  loss=11.4461
[  30/600]  edit_acc=0.767  gen_acc=0.667  loc_acc=0.967  loss=17.1066
[  32/600]  edit_acc=0.750  gen_acc=0.688  loc_acc=0.969  loss=11.1855
[  34/600]  edit_acc=0.735  gen_acc=0.676  loc_acc=0.971  loss=10.6487
[  36/600]  edit_acc=0.722  gen_acc=0.694  loc_acc=0.972  loss=10.8932
[  38/600]  edit_acc=0.684  gen_acc=0.711  loc_acc=0.974  loss=11.1777
[  40/600]  edit_acc=0.650  gen_acc=0.675  loc_acc=0.975  loss=11.3540
[  42/600]  edit_acc=0.667  gen_acc=0.667  loc_acc=0.952  loss=11.4512
[  44/600]  edit_acc=0.682  gen_acc=0.682  loc_acc=0.932  loss=15.5722
[  46/600]  edit_acc=0.652  gen_acc=0.674  loc_acc=0.935  loss=12.4771
[  48/600]  edit_acc=0.667  gen_acc=0.688  loc_acc=0.938  loss=11.2565
[  50/600]  edit_acc=0.640  gen_acc=0.680  loc_acc=0.940  loss=12.7772
[  52/600]  edit_acc=0.635  gen_acc=0.673  loc_acc=0.942  loss=16.3253
[  54/600]  edit_acc=0.630  gen_acc=0.667  loc_acc=0.944  loss=11.2844
[  56/600]  edit_acc=0.625  gen_acc=0.643  loc_acc=0.946  loss=12.0311
[  58/600]  edit_acc=0.638  gen_acc=0.655  loc_acc=0.948  loss=11.2443
[  60/600]  edit_acc=0.633  gen_acc=0.667  loc_acc=0.950  loss=15.6587
[  62/600]  edit_acc=0.629  gen_acc=0.661  loc_acc=0.952  loss=15.3127
[  64/600]  edit_acc=0.625  gen_acc=0.641  loc_acc=0.953  loss=11.2548
[  66/600]  edit_acc=0.621  gen_acc=0.652  loc_acc=0.955  loss=17.9548
[  68/600]  edit_acc=0.618  gen_acc=0.662  loc_acc=0.956  loss=15.7501
[  70/600]  edit_acc=0.629  gen_acc=0.657  loc_acc=0.957  loss=16.3708
[  72/600]  edit_acc=0.625  gen_acc=0.667  loc_acc=0.958  loss=11.3805
[  74/600]  edit_acc=0.635  gen_acc=0.676  loc_acc=0.946  loss=18.0152
[  76/600]  edit_acc=0.632  gen_acc=0.671  loc_acc=0.934  loss=17.9842
[  78/600]  edit_acc=0.615  gen_acc=0.667  loc_acc=0.936  loss=11.3642
[  80/600]  edit_acc=0.613  gen_acc=0.662  loc_acc=0.938  loss=11.4423
[  82/600]  edit_acc=0.622  gen_acc=0.659  loc_acc=0.939  loss=11.2661
[  84/600]  edit_acc=0.619  gen_acc=0.655  loc_acc=0.940  loss=18.1251
[  86/600]  edit_acc=0.616  gen_acc=0.651  loc_acc=0.942  loss=11.0093
[  88/600]  edit_acc=0.614  gen_acc=0.659  loc_acc=0.943  loss=12.3257
[  90/600]  edit_acc=0.611  gen_acc=0.667  loc_acc=0.944  loss=18.5835
[  92/600]  edit_acc=0.620  gen_acc=0.663  loc_acc=0.946  loss=18.5105
[  94/600]  edit_acc=0.617  gen_acc=0.660  loc_acc=0.947  loss=10.8849
[  96/600]  edit_acc=0.625  gen_acc=0.667  loc_acc=0.948  loss=16.4770
[  98/600]  edit_acc=0.622  gen_acc=0.663  loc_acc=0.949  loss=15.6126
[ 100/600]  edit_acc=0.610  gen_acc=0.660  loc_acc=0.940  loss=10.9485
[ 102/600]  edit_acc=0.618  gen_acc=0.667  loc_acc=0.941  loss=12.6132
[ 104/600]  edit_acc=0.625  gen_acc=0.673  loc_acc=0.942  loss=17.1385
[ 106/600]  edit_acc=0.632  gen_acc=0.670  loc_acc=0.943  loss=12.6994
[ 108/600]  edit_acc=0.639  gen_acc=0.667  loc_acc=0.944  loss=12.3084
[ 110/600]  edit_acc=0.627  gen_acc=0.673  loc_acc=0.945  loss=11.6350
[ 112/600]  edit_acc=0.634  gen_acc=0.670  loc_acc=0.946  loss=11.2189
[ 114/600]  edit_acc=0.632  gen_acc=0.675  loc_acc=0.939  loss=17.0469
[ 116/600]  edit_acc=0.629  gen_acc=0.681  loc_acc=0.940  loss=17.0741
[ 118/600]  edit_acc=0.619  gen_acc=0.678  loc_acc=0.941  loss=11.6520
[ 120/600]  edit_acc=0.617  gen_acc=0.683  loc_acc=0.942  loss=10.9504
[ 122/600]  edit_acc=0.607  gen_acc=0.680  loc_acc=0.943  loss=18.0816
[ 124/600]  edit_acc=0.613  gen_acc=0.677  loc_acc=0.944  loss=17.2263
[ 126/600]  edit_acc=0.619  gen_acc=0.683  loc_acc=0.937  loss=11.5857
[ 128/600]  edit_acc=0.625  gen_acc=0.688  loc_acc=0.938  loss=11.9541
[ 130/600]  edit_acc=0.615  gen_acc=0.685  loc_acc=0.931  loss=18.1178
[ 132/600]  edit_acc=0.621  gen_acc=0.689  loc_acc=0.932  loss=17.6210
[ 134/600]  edit_acc=0.619  gen_acc=0.679  loc_acc=0.925  loss=10.9847
[ 136/600]  edit_acc=0.625  gen_acc=0.676  loc_acc=0.926  loss=18.7438
[ 138/600]  edit_acc=0.630  gen_acc=0.681  loc_acc=0.928  loss=15.8914
[ 140/600]  edit_acc=0.629  gen_acc=0.686  loc_acc=0.929  loss=17.1449
[ 142/600]  edit_acc=0.634  gen_acc=0.690  loc_acc=0.930  loss=12.0702
[ 144/600]  edit_acc=0.632  gen_acc=0.694  loc_acc=0.931  loss=18.1352
[ 146/600]  edit_acc=0.630  gen_acc=0.692  loc_acc=0.925  loss=13.2090
[ 148/600]  edit_acc=0.635  gen_acc=0.689  loc_acc=0.926  loss=11.5949
[ 150/600]  edit_acc=0.633  gen_acc=0.693  loc_acc=0.927  loss=11.5767
[ 152/600]  edit_acc=0.632  gen_acc=0.684  loc_acc=0.928  loss=11.0747
[ 154/600]  edit_acc=0.630  gen_acc=0.675  loc_acc=0.929  loss=11.6260
[ 156/600]  edit_acc=0.628  gen_acc=0.673  loc_acc=0.929  loss=19.1363
[ 158/600]  edit_acc=0.627  gen_acc=0.671  loc_acc=0.918  loss=16.8981
[ 160/600]  edit_acc=0.631  gen_acc=0.669  loc_acc=0.919  loss=11.1788
